Index,Variant,"Region, subregion, country or area *",Type,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Estimates,Iraq,Country/Area,  35 572,  36 611,  37 553,  38 434,  39 310,  40 223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Estimates,Israel,Country/Area,  7 978,  8 109,  8 244,  8 382,  8 519,  8 656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Estimates,Jordan,Country/Area,  9 267,  9 554,  9 786,  9 965,  10 102,  10 203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Estimates,Kuwait,Country/Area,  3 836,  3 957,  4 056,  4 137,  4 207,  4 271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Estimates,Lebanon,Country/Area,  6 533,  6 714,  6 819,  6 859,  6 856,  6 825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Estimates,Oman,Country/Area,  4 267,  4 479,  4 666,  4 829,  4 975,  5 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Estimates,Qatar,Country/Area,  2 566,  2 654,  2 725,  2 782,  2 832,  2 881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Estimates,Saudi Arabia,Country/Area,  31 718,  32 443,  33 101,  33 703,  34 269,  34 814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Estimates,State of Palestine,Country/Area,  4 529,  4 636,  4 747,  4 863,  4 981,  5 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Estimates,Syrian Arab Republic,Country/Area,  17 997,  17 466,  17 096,  16 945,  17 070,  17 501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Estimates,Turkey,Country/Area,  78 529,  79 828,  81 116,  82 340,  83 430,  84 339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Estimates,United Arab Emirates,Country/Area,  9 263,  9 361,  9 487,  9 631,  9 771,  9 890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Estimates,Yemen,Country/Area,  26 498,  27 168,  27 835,  28 499,  29 162,  29 826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Estimates,CENTRAL AND SOUTHERN ASIA,SDG region, 1 896 327, 1 920 243, 1 944 109, 1 967 866, 1 991 424, 2 014 709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Estimates,Central Asia,Subregion,  68 480,  69 673,  70 867,  72 052,  73 212,  74 339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Estimates,Kazakhstan,Country/Area,  17 572,  17 831,  18 080,  18 320,  18 551,  18 777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Estimates,Kyrgyzstan,Country/Area,  5 959,  6 074,  6 190,  6 304,  6 416,  6 524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Estimates,Tajikistan,Country/Area,  8 454,  8 664,  8 880,  9 101,  9 321,  9 538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Estimates,Turkmenistan,Country/Area,  5 565,  5 662,  5 758,  5 851,  5 942,  6 031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Estimates,Uzbekistan,Country/Area,  30 930,  31 442,  31 960,  32 476,  32 982,  33 469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Estimates,Southern Asia,Subregion, 1 827 847, 1 850 570, 1 873 241, 1 895 814, 1 918 211, 1 940 370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Estimates,Afghanistan,Country/Area,  34 414,  35 383,  36 296,  37 172,  38 042,  38 928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Estimates,Bangladesh,Country/Area,  156 256,  157 977,  159 685,  161 377,  163 046,  164 689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Estimates,Bhutan,Country/Area,   728,   737,   746,   754,   763,   772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Estimates,India,Country/Area, 1 310 152, 1 324 517, 1 338 677, 1 352 642, 1 366 418, 1 380 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Estimates,Iran (Islamic Republic of),Country/Area,  78 492,  79 564,  80 674,  81 800,  82 914,  83 993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Estimates,Maldives,Country/Area,   455,   476,   496,   516,   531,   541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Estimates,Nepal,Country/Area,  27 015,  27 263,  27 633,  28 096,  28 609,  29 137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Estimates,Pakistan,Country/Area,  199 427,  203 631,  207 906,  212 228,  216 565,  220 892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Estimates,Sri Lanka,Country/Area,  20 908,  21 021,  21 128,  21 229,  21 324,  21 413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Estimates,EASTERN AND SOUTH-EASTERN ASIA,SDG region, 2 279 490, 2 294 101, 2 308 228, 2 321 770, 2 334 623, 2 346 709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Estimates,Eastern Asia,Subregion, 1 645 184, 1 652 635, 1 659 768, 1 666 471, 1 672 611, 1 678 090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Estimates,China,Country/Area, 1 406 848, 1 414 049, 1 421 022, 1 427 648, 1 433 784, 1 439 324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Estimates,"China, Hong Kong SAR",Country/Area,  7 186,  7 244,  7 306,  7 372,  7 436,  7 497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Estimates,"China, Macao SAR",Country/Area,   602,   613,   623,   632,   640,   649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Estimates,"China, Taiwan Province of China",Country/Area,  23 557,  23 618,  23 675,  23 726,  23 774,  23 817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Estimates,Dem. People's Republic of Korea,Country/Area,  25 184,  25 308,  25 430,  25 550,  25 666,  25 779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Estimates,Japan,Country/Area,  127 985,  127 763,  127 503,  127 202,  126 860,  126 476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Estimates,Mongolia,Country/Area,  2 998,  3 056,  3 114,  3 170,  3 225,  3 278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Estimates,Republic of Korea,Country/Area,  50 823,  50 983,  51 096,  51 172,  51 225,  51 269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Estimates,South-Eastern Asia,Subregion,  634 306,  641 467,  648 460,  655 298,  662 012,  668 620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Estimates,Brunei Darussalam,Country/Area,   415,   420,   424,   429,   433,   437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Estimates,Cambodia,Country/Area,  15 521,  15 766,  16 009,  16 250,  16 487,  16 719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
